label,sentence
1,Everyone send @NikolaHalcyone some love! Tis her birthday and she is officially old balls! (per my opinion)  
1,Morning ppl....  not much sleep last nite fkn w ya till 330a. But fk it. Up n about! 
1,I'm Panicking At The Disco with Camisado 
1,@KrissyKris725 Well tell your boss I said you can go home too! Paid for!!  LOL
1,i've really got to started loving myself and my flaws lol  and so does everyone else 
1,@JRtheDoc hope you are feeling better? You were a really good sport - Very nice meeting U and happy we got a chance to talk 
1,@ImWendy turn off the computer at night 
1,had a great time at the concert saturday night  http://twitpic.com/7gk6n
1,"Thanks for the birthday wishes! Had a very nice day at the zoo, weather was beautiful, and interesting animals "
1,@jo_blankenburg I LOVE the Ocean/sea/water in general.. i'm usually first in and last out whereby i look like a prune 
1,"Watching Omega, DH season finale! finally @ Tommy/alpha's home "
1,@Flisker  HAHAHA you wish!! 
1,there are a lot of quotes from last night that could sum up last night- but I'm just going to say it was a really good night. 
1,Let's hope this goes well. 
1,"aw,  look at you planning and shâ¥t -----  I am so envious  "
1,Been horse riding everyday... Can't wait till tomoro... 
1,@chadfranz did you order one for me as well? 
1,"Getting ready to meet the day, starting it off with twitter and coffee and youtube and positive reflection.  Life is good!  "
1,Way too early for me to be up! Going back to bed for awhile 
1,"That's why I love you, you know you know! Teehee "
1,sickk but watchin' skins 
1,@DKBooks Thanks for getting back to me  have sent the email 
1,@illuminantceo phew! thats good! @ least its no longer midnight dark! 
1,@baob find my sunglasses 
1,@ekastewart hey  just noticed your fallowing so I just wanted to say hi
1,"@taeboqueen66 Needed a time-out but I'm back! Thanks for the love- good to be missed, girl! xo "
1,My older cousin just took me and my sister out for ice cream  just realized she's a HUUUGE gamer like me time to hijack her xbox!!!
1,"@switcheroo I did, and apparently you're very nice ! "
1,check out The Aurora Foundation on Facebook  http://bit.ly/10yxi7 Become a FAN 
1,End of termmm! College show tonight            (GUTTED I missed @rustyrockets on here)
1,4 I am high &amp; u can see. 4 I am lost &amp; u find me. 4 I am held &amp; u break free. Well I am am &amp; u can only wish to be of such a masterpiece. 
1,@xGallifreyGirlx glad you approve.  how was download btw?
1,GOOD morning!!!!... Hmmm i want some Starbucks Oatmeal 
1,@malloryesque not for long if you dont get to typing!  
1,@semipenguin Thanks. I hope you have a wonderful day as well 
1,@eoutofm congrats sweetie! just rely on you sweetie 
1,@robinmatthewfry the beauty of mobile! 
1,"@TheKateNash We love you, too, darling! "
1,@simp a message from El &quot;PS - please let's not let Trevor anywhere near the playlist.  &quot; 
1,@nicholaswyoung Shoot me the URL and I'll get it listed 
1,sick as fuck! thanks @caristanaomi for the healthy box of fruit (through the mail lmao)  thats the healthy love! i love u lil punk
1,@maggiefarmer and I wonder why..... LOL! You just rocked it out for 4 days!! 
1,"@DonnieWahlberg I've taken thousands of concert photos (literally), but this is my new all-time favorite.   http://twitpic.com/7h0p8"
1,Getting my pregnancy work out on 
1,Hooks and uppercuts in class. Time for a bike ride into work. Hooray for being alive. And for breakfast tacos. 
1,@DavidArchie Did you get some sleep? And did you catch Cookie on Larry King last night? He said such nice things about you!  I love him.
1,Don't sit around telling god how big ur problems are tell ur problems how big god is!! He's huuuuge.. 
1,"@lisle lol ok la thx thx, i stuck in camp without internet access "
1,goooood mornin' peoples  oh tis a beautiful dayy
1,Today I am practicing &quot;I don't know&quot;  when I don't *know* I have the opportunity to learn 
1,@CourtneySit Why? Confidence makes me atypical male? So your confidence makes you atypical &quot;bitch&quot; female? I dont think so 
1,"OH, @Ijustine, I cracked up laughing when you said, &quot;OMG! A homeless man just went poop beside my car.&quot; bless you girllllll.  "
1,"@katiapsyche I have my first exam today, second tomorrow, and then last one on Thursday, then I'm done for good! Grad is on the 25th. "
1,@hipattack oh completed that too. Best game ending ever 
1,@Magpie_Guy hav a brew instead 
1,"&quot;To achieve the impossible, it is precisely the unthinkable that must be thought.&quot; (T. Robbins). Expand your horizons today! HAGD! "
1,@attilagyorffy No worries. I think it is often confusing to many because his GitHub username is ryanb. 
1,@bigmama1039 ur welcome :-D Im glad hes been good to you ;-) enjoy hm and I hope he continues to bring u all the lucky vibes u deserve 
1,@Sapphire2uk Thanks hun  x
1,Feel like crap again. . But it's warm so it's all good. 
1,"smallville, my first true love  hehe"
1,@Sbasri think about me  hehe
1,@sarial Night. You'll sleep well if you've been doing manual labour. 
1,"I know adam  &quot;Do you know where the crapper is, I need to drop off some timber&quot; LOL"
1,@phatelara I'm reading your post.. 
1,I hope I get Marilyn Manson tickets on Friday 
1,@THEREALNOM hehe. we'll c... 
1,man...twitter is so addictive  even better than facebook and bebo combined
1,"@KeLs7308  yeah, what do girls think about me "
1,banana fritter plus cookies n creme ice cream  yummy... work was good hehe
1,Anyone wants to go on a ride with me up St. Peter side?  Gotta drop off my sax at my old school  
1,Happy birthday kevin 
1,@Ipkat He's a fantastic lecturer! 
1,@zotheysay : infinite thank yous for introducing me to rosehip oil 
1,"Hi, @wfavero, and thanks for the follow! Please let us know what you'd like to see from us on Twitter! "
1,~ just had the best vegan lunch ... Linda McCartney sausages (cold) with relish &amp; Sainsbury's vegan bread mmmmmmmmmm 
1,"Oh my... Opera is the #1 trending topic! I knew this day would come. Opera is my favourite web browser ever, been using it for years. "
1,wishes someone would bring me food in bed!  lol
1,"Hell, I'm a great cook!  "
1,"@NadaFarida booosss,,what are u doing?? "
1,is having a wonderful birthday so far thanks to my friends  and it's only 7!
1,"@ddlovato Hahaha Demi, naughty Demi!  I love your song Here We Go Again!"
1,I am exercising this morning until 11 and then headed to get help on a script so I'll be ready for my audition tonight! *fingers crossed* 
1,Getting ready for 3 classes this morning and Connect Group tonight. 
1,"Hope everyone's okayy... You know, no swiney. "
1,just woke up... gunna go shoppin in Liverpool today i reckon.. and Nandoooooosssssssss!! 
1,@EddieMalone Call up Virgin Media and see what you can get off them; and then play them off each other.  (probably won't work either)
1,Can't wait for Friday 
1,"@Jen_Niffer aww, you'll get there! I'm good  Preparing 4 twin A's IEP meeting 2day. We've already had twin B's IEP meeting. Otherwise, nm!"
1,"Woooooooooooow, barn "
1,@dtsn DM me contact details. Happy to help #rdg 
1,@mccmarianne morning sweetness. 
1,@LuisaLovato hey! what's up? 
1,@mirzwick Thanks Miranda! I hope I have a fabulous day too!!  It'd be kinda cool if you had a great day yourself!
1,"@belmontlovely Woofs to Miss Lottie! Happy Birthday, girlie! "
1,"@buridan hm, will check for that.  cheers!"
1,"@CustomizedWed ohh that sounds exciting!!!  good here, nice weather today"
1,NOTHING AND NOTHING OH ER..... MIGHT WATCH QUEEN AND PAUL RODGER 
1,"Alright, still bored.  Can't wait to hang out with Elizabeth today, it's going to be awesome         "
1,@teachmescience Very exciting. I'm a big fan of seaweed. 
1,@amyhulme No that will happen alot!  Don't be too hard on yourself.
1,"@RealMattLucas it is really funny, thanks so much "
1,@Swootii WOW . eeeps yeah okay . dont need it right now anyway 
1,Playing ps2 like the old days 
1,"@IllusiveMcSorly lmao, don't get me thinking of that! I won't be able to concentrate on anything! "
1,http://twitpic.com/7jcra - Yayyy for not having to take clients this week and next week 
1,@elyshiaw LOL your a caveman  who only mumbles and grunts 
1,"@shininstar95 hahaha. i was bored.n i needed sumthign to twitterbout, so.. yeah i must rite tt "
1,"@FionaFlame Daughter's 2nd birthday on Friday, so party on Sunday, and just going for days out "
1,i have an englishh finalll 2day...fml...sumbodyy save mee (: morninggg travvvviiiiissss &lt;3 iloveeyouuuuhhh&lt;3 
1,"I love Pol Pot, Adolf Hitler, Satanism, Nazism (even though I am a jew). fuh fuh "
1,finally at school with turn right stuck in my head 
1,"@jchutchins Sword of Blood's going really well, but I'm looking forward to the Dark Art excerpts too "
1,"You take care of yourself, ok? "
1,@BabyCakes281 I know what really kept you up last night 
1,Voted for Guy 
1,@MichelleH1993 Wow that are really good questions michelle.  The woman from yesterday was scarry she is FAT. Ihhhh
1,The Scroll Thief is turning up all over the place for pre-Order now. Its great. Just found it on The Book Depository! 
1,@terryslobodian yep we have a lot in common in collaboration research and social media strategy 
1,time to get yo tuesday on tweet brothas and sistas! it's gonna be a good day.  
1,"@VancityAllie Don't know what has you so down, but your light is shining inside!  You have the power to turn the switch on love.  "
1,"Figures now that @_caustic_ sends me the samples, my lappy is dead.  x.x  To my friend's place to download samples!  "
1,Its 8am nd I'm up 4 no reason...smh...goodmornin brothers 
1,haha I found wireless Internet in my sisters room. 
1,welcome home @simplydittaa !! c u sat 
1,"@KickOH oh wow, thats a photo now "
1,"@halr9000 Actually, I don't know why I thought it supported tabs, it doesn't. My mistake.  But it is what I use... lol."
1,"@xEviLovesMcFLYx yes, it is  I need my vacation now "
1,the hangover!!  hahaha
1,@whysogreen lol how is it that you knew EXACTLY which show i was asking about  so soon i can't wait! like Christmas 
1,I posed every way I could think of (lots of &quot;Oh! You caught me on film with my skirt blowing up! Oh my! Oooh!) and then some more. and no 
1,"Just left my job of one year as a cleaner at a gym, it was horrible, so happy I won't be going back! "
1,@HaughtyFemDom Mornin hunbun~ I'm lovin the profile pic 
1,logging in to MSN .. like after months 
1,Drivers ed! cousins are over... buying jb new cd LVATT for my sister today!  everyone go buy 5 albums!!! =P
1,Grilled cheese and a Multi-Vitamin juice is going to help me trough this day 
1,@dancers_mom mornin' mother of the dance 
1,@johncmayer you won't really enjoy snowboarding until the 3rd or 4th time. or at least when you learn how to stop 
